TradeDate	TradeType	ShortName	FutureExpiry	Strike	CallPut	Quantity	Vol	Premium	FuturePrice
07/05/2024 13:15:01	Structured Option Trade	WMAZ	Jul25	3840	P	1	20	17926.23	4160
07/05/2024 13:15:00	Structured Option Trade	WMAZ	Jul25	4480	C	1	19	18685.37	4160
07/05/2024 13:15:00	Structured Option Trade	WMAZ	Jul25	4160	P	1	19	31008.43	4160
07/05/2024 12:19:51	Delta Option Trade	YMAZ	Jul25	4120	C	20	18.6	15899	3806.6
07/05/2024 12:19:51	Delta Option Trade	YMAZ	Jul25	3460	P	20	17.85	11768	3806.6
07/05/2024 12:19:51	Delta Option Trade	YMAZ	Jul25	3800	C	20	18.6	28086	3806.6
07/05/2024 12:15:20	Delta Option Trade	YMAZ	May25	3520	P	15	18.45	11146	3852.4
07/05/2024 12:15:19	Delta Option Trade	YMAZ	May25	4180	C	15	19.35	14329	3852.4
07/05/2024 12:15:19	Delta Option Trade	YMAZ	May25	3860	C	15	19.2	26008	3852.4
07/05/2024 12:04:26	Delta Option Trade	WMAZ	Mar25	4900	C	22	25.5	39897.32	4901
07/05/2024 12:03:55	Delta Option Trade	WMAZ	Mar25	4420	P	22	25.5	18573.34	4901
07/05/2024 12:00:06	Delta Option Trade	WMAZ	Mar25	5400	C	22	25.5	21545.07	4901
07/05/2024 11:17:27	Delta Option Trade	WMAZ	Mar25	4920	P	5	26.3	41142	4922.5
07/05/2024 11:03:50	Delta Option Trade	WMAZ	Dec24	5240	C	10	25	32678	5240
07/05/2024 10:33:55	Delta Option Trade	YMAZ	Dec24	3680	P	64	18	5913.08	3993
07/05/2024 10:33:55	Delta Option Trade	YMAZ	Dec24	4100	C	32	18.75	14062.95	3993
07/05/2024 09:13:43	Structured Trade	WMAZ	Dec24	6000	C	10	26.5	9154.56	5163
